"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14151831","JK199324","2026-03-25T00:00:00.000","061XX S KIMBARK AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0314","003","20","42","06","1185698","1864517","2026","2026-04-01T15:55:19.000","41.783373035","-87.594707671","
,  
(41.783373035, -87.594707671)"
"14146842","JK193334","2026-03-25T00:00:00.000","053XX N NATCHEZ AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1613","016","41","10","06","1132247","1935147","2026","2026-04-01T15:55:19.000","41.97828459","-87.78903777","
,  
(41.97828459, -87.78903777)"
"14147104","JK193460","2026-03-25T00:00:00.000","067XX S COTTAGE GROVE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0321","003","6","42","07","1182721","1860455","2026","2026-04-01T15:55:19.000","41.772296185","-87.605748236","
,  
(41.772296185, -87.605748236)"
"14146814","JK193279","2026-03-25T00:00:00.000","002XX W 47TH ST","0420","BATTERY","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","CTA TRAIN","false","false","0925","009","20","37","04B","1175476","1873816","2026","2026-04-01T15:55:19.000","41.809125265","-87.631906508","
,  
(41.809125265, -87.631906508)"
"14150079","JK197286","2026-03-25T00:00:00.000","061XX S WOODLAWN AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","RESIDENCE","false","false","0314","003","20","42","11","1185271","1864548","2026","2026-04-01T15:55:19.000","41.783468156","-87.596272203","
,  
(41.783468156, -87.596272203)"
"14147575","JK193471","2026-03-25T00:00:00.000","031XX N RUTHERFORD AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2511","025","36","18","06","1130871","1920142","2026","2026-04-01T15:55:19.000","41.937133147","-87.794445144","
,  
(41.937133147, -87.794445144)"
"14147139","JK193726","2026-03-25T00:00:00.000","079XX S HALSTED ST","0560","ASSAULT","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0621","006","17","71","08A","1172343","1852312","2026","2026-04-01T15:55:19.000","41.750185415","-87.644029945","
,  
(41.750185415, -87.644029945)"
"14151338","JK198674","2026-03-25T00:00:00.000","008XX N MOZART ST","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","1211","012","36","24","06","1157224","1905765","2026","2026-04-01T15:55:19.000","41.897186105","-87.697984555","
,  
(41.897186105, -87.697984555)"
"14147222","JK193674","2026-03-25T00:00:00.000","049XX S WASHINGTON PARK CT","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0223","002","20","38","14","1180086","1872396","2026","2026-04-01T15:55:19.000","41.805124173","-87.615041585","
,  
(41.805124173, -87.615041585)"
"14147028","JK193466","2026-03-25T00:00:00.000","077XX S RACINE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0612","006","17","71","07","1169665","1853423","2026","2026-04-01T15:55:19.000","41.753292602","-87.653811173","
,  
(41.753292602, -87.653811173)"
"14150639","JK193242","2026-03-25T00:00:00.000","046XX S SPRINGFIELD AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0821","008","14","57","08B","1151143","1873488","2026","2026-04-01T15:55:19.000","41.808735492","-87.721164505","
,  
(41.808735492, -87.721164505)"
"14151577","JK199056","2026-03-25T00:00:00.000","089XX S WALLACE ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","2223","022","21","71","14","1173869","1845664","2026","2026-04-01T15:55:19.000","41.731908752","-87.638634675","
,  
(41.731908752, -87.638634675)"
"14147655","JK193983","2026-03-25T00:00:00.000","061XX W 64TH ST","0820","THEFT","$500 AND UNDER","STREET","false","false","0812","008","13","64","06","1136653","1861456","2026","2026-04-01T15:55:19.000","41.775988489","-87.774598549","
,  
(41.775988489, -87.774598549)"
"14148239","JK194248","2026-03-25T00:00:00.000","021XX E 69TH ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0331","003","5","43","06","1191581","1859635","2026","2026-04-01T15:55:19.000","41.769835767","-87.573297163","
,  
(41.769835767, -87.573297163)"
"14146841","JK193342","2026-03-25T00:00:00.000","052XX N OAK PARK AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1613","016","41","10","06","1130264","1934432","2026","2026-04-01T15:55:19.000","41.976356904","-87.796346914","
,  
(41.976356904, -87.796346914)"
"14146831","JK193235","2026-03-25T00:00:00.000","046XX N KIMBALL AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","true","1713","017","33","14","08A","1152887","1930454","2026","2026-04-01T15:55:19.000","41.965021737","-87.713258015","
,  
(41.965021737, -87.713258015)"
"14148020","JK194736","2026-03-25T00:00:00.000","066XX N ROCKWELL ST","0820","THEFT","$500 AND UNDER","STREET","false","false","2412","024","50","2","06","1157783","1944060","2026","2026-04-01T15:55:19.000","42.002258582","-87.694883674","
,  
(42.002258582, -87.694883674)"
"14148555","JK195371","2026-03-25T00:00:00.000","020XX N HAMLIN AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","2525","025","26","22","06","1150712","1913455","2026","2026-04-01T15:55:19.000","41.918418044","-87.721700969","
,  
(41.918418044, -87.721700969)"
"14150409","JK197316","2026-03-25T00:00:00.000","086XX S DREXEL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","VEHICLE NON-COMMERCIAL","false","true","0632","006","8","44","08B","1183734","1847888","2026","2026-04-01T15:55:19.000","41.73778748","-87.602426287","
,  
(41.73778748, -87.602426287)"
"14148410","JK195271","2026-03-25T00:00:00.000","002XX E 121ST PL","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT","false","false","0532","005","9","53","26","1180007","1824447","2026","2026-04-01T15:55:19.000","41.673548279","-87.616795523","
,  
(41.673548279, -87.616795523)"
"14146785","JK193276","2026-03-25T00:00:00.000","032XX W 84TH PL","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0834","008","18","70","14","1156184","1848380","2026","2026-04-01T15:55:19.000","41.739735348","-87.70334962","
,  
(41.739735348, -87.70334962)"
"14146847","JK193232","2026-03-24T23:56:00.000","085XX S DANTE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","0412","004","8","45","14","1187360","1848549","2026","2026-04-01T15:55:19.000","41.739516057","-87.589120794","
,  
(41.739516057, -87.589120794)"
"14147003","JK193456","2026-03-24T23:55:00.000","018XX N PAULINA ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1433","014","32","22","14","1164724","1912331","2026","2026-04-01T15:55:19.000","41.915047952","-87.670251719","
,  
(41.915047952, -87.670251719)"
"14146751","JK193225","2026-03-24T23:52:00.000","012XX E 71ST ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true","0324","003","5","69","08B","1185732","1858185","2026","2026-04-01T15:55:19.000","41.765996669","-87.594782386","
,  
(41.765996669, -87.594782386)"
"14153449","JK193224","2026-03-24T23:50:00.000","062XX S TRIPP AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0813","008","13","65","08B",,,"2026","2026-04-01T15:55:19.000",,,
"14146777","JK193247","2026-03-24T23:50:00.000","004XX W MARQUETTE RD","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","0722","007","6","68","14","1174499","1860504","2026","2026-04-01T15:55:19.000","41.772617568","-87.635886035","
,  
(41.772617568, -87.635886035)"
"29092","JK193204","2026-03-24T23:49:00.000","078XX S CALUMET AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0623","006","6","69","01A","1179834","1853004","2026","2026-04-01T15:55:19.000","41.751916378","-87.616558623","
,  
(41.751916378, -87.616558623)"
"14147240","JK193859","2026-03-24T23:45:00.000","045XX S DREXEL BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0221","002","4","39","07","1182955","1875130","2026","2026-04-01T15:55:19.000","41.812560204","-87.604434374","
,  
(41.812560204, -87.604434374)"
"14147253","JK193840","2026-03-24T23:45:00.000","046XX S COTTAGE GROVE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0221","002","4","39","14","1182371","1874520","2026","2026-04-01T15:55:19.000","41.81089989","-87.606595385","
,  
(41.81089989, -87.606595385)"
"29093","JK193204","2026-03-24T23:44:00.000","078XX S CALUMET AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0623","006","6","69","01A","1179834","1853004","2026","2026-04-01T15:55:19.000","41.751916378","-87.616558623","
,  
(41.751916378, -87.616558623)"
"14146723","JK193214","2026-03-24T23:35:00.000","018XX S ALLPORT ST","0810","THEFT","OVER $500","SIDEWALK","false","false","1233","012","25","31","06","1168327","1891230","2026","2026-04-01T15:55:19.000","41.857068095","-87.657625201","
,  
(41.857068095, -87.657625201)"
"14146715","JK193231","2026-03-24T23:31:00.000","004XX W 115TH ST","1822","NARCOTICS","MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS","STREET","true","false","2233","022","21","49","18","1175275","1828649","2026","2026-04-01T15:55:19.000","41.685185901","-87.633990176","
,  
(41.685185901, -87.633990176)"
"14146981","JK193526","2026-03-24T23:30:00.000","008XX N LAVERGNE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","VEHICLE NON-COMMERCIAL","false","false","1531","015","37","25","07","1142871","1905066","2026","2026-04-01T15:55:19.000","41.895547539","-87.750719075","
,  
(41.895547539, -87.750719075)"
"14146909","JK193420","2026-03-24T23:30:00.000","029XX W LOGAN BLVD","0710","THEFT","THEFT FROM MOTOR VEHICLE","VEHICLE NON-COMMERCIAL","false","false","1414","014","1","22","06","1156162","1917143","2026","2026-04-01T15:55:19.000","41.928429797","-87.701577329","
,  
(41.928429797, -87.701577329)"
"14152963","JK200756","2026-03-24T23:15:00.000","002XX W 69TH ST","0560","ASSAULT","SIMPLE","COMMERCIAL / BUSINESS OFFICE","false","false","0731","007","6","69","08A",,,"2026","2026-04-01T15:55:19.000",,,
"14146698","JK193205","2026-03-24T23:12:00.000","079XX S WHIPPLE ST","1477","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","STREET","false","false","0835","008","18","70","15","1157427","1851742","2026","2026-04-01T15:55:19.000","41.748936161","-87.698704564","
,  
(41.748936161, -87.698704564)"
"14146761","JK193228","2026-03-24T23:08:00.000","035XX S RHODES AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","false","false","0212","002","4","35","14","1180172","1881338","2026","2026-04-01T15:55:19.000","41.82965976","-87.614451807","
,  
(41.82965976, -87.614451807)"
"14146746","JK193219","2026-03-24T23:08:00.000","035XX S RHODES AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","VEHICLE NON-COMMERCIAL","false","false","0212","002","4","35","04A","1180162","1881716","2026","2026-04-01T15:55:19.000","41.830697249","-87.614476891","
,  
(41.830697249, -87.614476891)"
